LD1	LD2	sampleID
3.731672	2.3403492	HGDP01156
1.8911129	1.6637689	HGDP00561
3.1923926	3.6612995	HGDP01073
1.8926094	1.8576771	HGDP00563
3.0288978	1.7546474	HGDP01399
4.1831865	2.5765269	HGDP00797
3.5581443	2.2315397	HGDP01375
3.8879473	3.9795775	HGDP01065
2.3127792	1.7740961	HGDP00572
1.9996519	1.4382526	HGDP00573
3.775028	3.8950322	HGDP01066
4.2927613	2.656551	HGDP00808
1.7752752	1.3721191	HGDP00583
3.0607014	2.3010352	HGDP01166
4.179777	2.7333696	HGDP00807
2.7687259	1.6398345	HGDP01387
4.4450846	3.7195385	HGDP01367
3.7872603	2.3029735	HGDP00534
3.196367	3.0674422	HGDP00670
1.7656534	1.0158064	HGDP00582
2.1167538	1.5266374	HGDP00579
1.9466476	3.1131117	HGDP00649
1.2867362	1.8950995	HGDP00651
0.98031354	1.0296954	HGDP00691
3.1508193	2.697507	HGDP01071
1.3811536	1.7680796	HGDP00700
1.8774744	1.1024399	HGDP00590
3.9807994	3.6025622	HGDP00668
0.85280246	1.4933742	HGDP00632
1.0615563	1.3338505	HGDP00675
3.833632	2.268761	HGDP00803
2.0839653	1.4915947	HGDP00575
3.879154	2.1927025	HGDP00794
3.980803	2.9224548	HGDP01173
1.7006783	1.395963	HGDP00565
1.2436728	1.0070372	HGDP00741
4.2935877	3.9510055	HGDP00674
3.768779	3.825873	HGDP01068
1.129405	1.5896125	HGDP00646
2.8590615	-1.1872073	HGDP00122
2.260816	-0.27553934	HGDP00248
2.867744	-0.15817373	HGDP00254
1.9138541	-0.14366488	HGDP00179
2.555318	-0.11744588	HGDP00241
3.59981	3.4270732	HGDP01075
1.8043834	1.3675385	HGDP00581
2.3408487	0.119972296	HGDP00045
1.8045713	1.278077	HGDP00578
4.6463914	3.417267	HGDP01366
3.6348927	3.419602	HGDP01070
5.662381	-1.8713686	HGDP00868
7.64094	-2.0855281	HGDP00970
1.3221154	2.2536306	HGDP00631
6.8254786	-2.17012	HGDP00870
-0.50047904	-1.5514545	HGDP00546
0.010676622	-2.421209	HGDP00661
1.1451454	1.4275398	HGDP00682
1.5160606	2.7007062	HGDP00653
2.3366554	-0.49649948	HGDP00129
1.754529	1.5367192	HGDP00604
1.8713055	1.6544305	HGDP00684
1.3939447	1.7019273	HGDP00639
1.0061332	1.111113	HGDP00620
4.4964466	2.7432644	HGDP00800
3.2026541	2.344494	HGDP01171
3.266855	1.904796	HGDP01169
4.077795	2.038515	HGDP00802
1.7798045	1.4303797	HGDP00566
3.3056757	2.6021578	HGDP01149
1.082693	1.6138438	HGDP00626
2.6670537	-2.2267168	HGDP00102
2.0816932	-4.977055	HGDP00767
4.2516003	0.5835431	HGDP00326
2.6158762	-1.329402	HGDP00120
0.58313864	0.31667387	HGDP00175
4.951287	0.59031445	HGDP00333
3.798326	2.819895	HGDP01155
3.8387153	3.2937605	HGDP00667
5.9533963	-2.0872543	HGDP00863
2.137534	1.3432311	HGDP00588
-0.1667637	-1.6967689	HGDP00556
-0.12299952	-2.198113	HGDP00787
6.4222264	-2.0059826	HGDP00858
8.734231	-2.3436656	HGDP01001
3.0316389	2.2291763	HGDP01161
3.5478673	3.6850295	HGDP01063
-0.5549022	5.1295004	HGDP00912
1.7504096	1.5043607	HGDP00595
-0.387468	3.4989812	HGDP00621
1.2532656	2.1508107	HGDP00623
1.0257604	3.6716435	HGDP01269
0.85652447	1.0013034	HGDP00685
4.1950655	3.948334	HGDP01067
3.2075384	2.4465072	HGDP01167
4.244911	4.026258	HGDP01069
1.3944945	1.6107467	HGDP00696
1.4453065	1.3219372	HGDP00687
2.7908719	-2.5370114	HGDP00121
2.4122882	-0.535157	HGDP00388
2.3447871	-3.594289	HGDP01248
1.2545109	1.3274192	HGDP00698
1.6697594	0.13021512	HGDP00037
4.4825783	0.7946095	HGDP00307
2.5335116	-0.30934006	HGDP00407
2.5524993	0.353437	HGDP00259
2.105085	2.0154972	HGDP00571
6.3564053	-2.0955946	HGDP00873
-0.084904075	-2.1439319	HGDP00663
6.2369576	-2.2970653	HGDP01041
8.826869	-2.5283887	HGDP00999
7.851671	-2.3008773	HGDP00704
1.0876145	3.8242466	HGDP01277
3.039936	2.4252121	HGDP01152
7.9932575	-2.2667608	HGDP00708
5.4677334	-1.4852949	HGDP00869
-0.75259966	5.0542583	HGDP00909
1.407533	2.553034	HGDP00641
1.9833508	1.2137516	HGDP00591
1.3266577	1.8948511	HGDP00643
1.4537555	1.4132826	HGDP00676
3.8943658	3.3333914	HGDP01369
1.3078722	1.4550545	HGDP00640
4.012348	2.6656313	HGDP00810
3.4574602	2.964736	HGDP00673
4.5137644	3.2088454	HGDP01379
1.9212439	1.5757625	HGDP00577
1.3719736	1.6129068	HGDP00686
0.78338295	0.9488096	HGDP00614
1.1592362	1.5563117	HGDP00732
0.9326569	3.4371808	HGDP01268
2.1298141	0.11264891	HGDP00054
2.5157988	-0.21116619	HGDP00191
4.6888804	0.4839304	HGDP00311
2.9876113	2.5002093	HGDP00669
3.81703	3.3760521	HGDP01072
3.1161454	2.3566265	HGDP01162
9.665864	-2.44813	HGDP00995
4.957714	-1.0903114	HGDP00876
6.526058	-2.061681	HGDP00854
5.1004934	-1.8489678	HGDP00875
7.486231	-2.235231	HGDP01056
2.0114043	-4.8005157	HGDP00752
6.310431	-2.1969037	HGDP01058
2.0197623	-4.7849174	HGDP00753
11.456086	-3.093996	HGDP00832
1.2671967	1.5069672	HGDP00727
1.3524826	1.5117751	HGDP00679
0.6001268	0.6540282	HGDP00688
0.950311	3.5340598	HGDP01260
1.3180834	1.5699763	HGDP00635
2.991274	2.822868	HGDP00672
4.430553	3.4889176	HGDP01378
1.8937201	1.532122	HGDP00557
1.461298	1.6762134	HGDP00678
1.1884652	3.5227466	HGDP01254
2.2496135	-4.296311	HGDP01217
0.63067585	1.5024945	HGDP00638
1.5946064	2.4904616	HGDP00618
2.837417	-1.7218297	HGDP00949
2.4050093	-4.8763776	HGDP00759
2.3105805	-0.08827787	HGDP00230
2.2313178	0.10617597	HGDP00068
0.8088941	0.24226744	HGDP00029
-0.27579156	-1.6504427	HGDP00553
1.6166008	1.4292516	HGDP00615
-0.7327906	-6.001797	HGDP01309
6.4272966	-2.251127	HGDP01060
1.7423155	1.544428	HGDP00628
6.560478	-1.8514427	HGDP00859
6.5564923	-2.301027	HGDP01053
-0.20977905	-2.0557475	HGDP01027
4.2482038	2.8630092	HGDP00805
6.140414	-1.5654274	HGDP00872
2.1226394	1.3325555	HGDP00594
1.2141303	2.4377704	HGDP00624
2.017565	1.1840504	HGDP00598
0.8473601	1.0939561	HGDP00647
1.2965089	1.1724416	HGDP00735
1.681807	1.544974	HGDP00699
1.9277588	1.2112578	HGDP00602
1.6379008	1.025495	HGDP00586
1.2065703	2.0439343	HGDP00648
2.3776858	-4.020955	HGDP01239
1.2003627	1.4039267	HGDP00690
2.6887712	0.13979645	HGDP00017
-0.36044773	3.0730407	HGDP01270
2.7747166	-0.37023944	HGDP00444
2.4277575	-0.31712252	HGDP00197
1.7297595	1.1354682	HGDP00560
7.3643613	-2.2640193	HGDP01059
10.946723	-2.836241	HGDP00849
1.1656616	3.7410715	HGDP01276
1.0726645	2.0335286	HGDP01262
-0.33780542	5.5213246	HGDP00906
1.1223958	1.8635393	HGDP00625
1.044996	3.6212883	HGDP01282
4.296146	3.099536	HGDP01373
1.190408	1.9317073	HGDP00607
1.3467468	1.2637582	HGDP00683
0.52807355	1.3708698	HGDP00738
1.0337825	1.1488131	HGDP00739
1.5510652	1.7612613	HGDP00629
1.1223009	1.5484391	HGDP00746
0.6988163	1.6876445	HGDP00619
1.1118166	2.3015594	HGDP00636
1.9952979	1.559259	HGDP00574
4.0872154	3.336898	HGDP01370
3.7686045	3.8388183	HGDP01077
2.2273421	1.9624337	HGDP00587
2.1933591	1.7541888	HGDP00599
3.2520735	2.2019646	HGDP01174
0.36367026	0.970788	HGDP00637
1.7129434	1.369964	HGDP00677
1.9917266	-4.3790708	HGDP00748
2.1747024	0.089215584	HGDP00171
2.0817306	0.20774062	HGDP00041
2.442527	0.031881165	HGDP00023
3.7950237	2.873281	HGDP01372
3.6289592	2.7224512	HGDP01151
1.8309681	0.99275994	HGDP00558
